;index;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_rf__max_depth;param_rf__min_samples_leaf;param_rf__min_samples_split;param_rf__n_estimators;split0_test_metrica;split1_test_metrica;split2_test_metrica;split3_test_metrica;split4_test_metrica;mean_test_metrica;std_test_metrica;rank_test_metrica;split0_train_metrica;split1_train_metrica;split2_train_metrica;split3_train_metrica;split4_train_metrica;mean_train_metrica;std_train_metrica;split0_test_meae;split1_test_meae;split2_test_meae;split3_test_meae;split4_test_meae;mean_test_meae;std_test_meae;rank_test_meae;split0_train_meae;split1_train_meae;split2_train_meae;split3_train_meae;split4_train_meae;mean_train_meae;std_train_meae;split0_test_r2;split1_test_r2;split2_test_r2;split3_test_r2;split4_test_r2;mean_test_r2;std_test_r2;rank_test_r2;split0_train_r2;split1_train_r2;split2_train_r2;split3_train_r2;split4_train_r2;mean_train_r2;std_train_r2;split0_test_rmse;split1_test_rmse;split2_test_rmse;split3_test_rmse;split4_test_rmse;mean_test_rmse;std_test_rmse;rank_test_rmse;split0_train_rmse;split1_train_rmse;split2_train_rmse;split3_train_rmse;split4_train_rmse;mean_train_rmse;std_train_rmse;split0_test_mape;split1_test_mape;split2_test_mape;split3_test_mape;split4_test_mape;mean_test_mape;std_test_mape;rank_test_mape;split0_train_mape;split1_train_mape;split2_train_mape;split3_train_mape;split4_train_mape;mean_train_mape;std_train_mape;escenario;param_gbt__max_depth;param_gbt__min_samples_leaf;param_gbt__min_samples_split;param_gbt__n_estimators;param_xgb__learning_rate;param_xgb__max_depth;param_xgb__reg_alpha
0;0;3,662117671966553;0,035971681505878525;0,030011320114135744;0,0012107423693448732;6;2;4;100;-202676757,65521103;-198764894,6355279;-170346822,40987378;-170064770,16380662;-164085319,20466852;-181187712,8138176;16152232,007353649;95;-161172878,9122857;-170864209,80310422;-163699868,84158066;-166460252,3785748;-168803939,54870313;-166200229,89684972;3467728,0036590532;202676757,65521103;198764894,6355279;170346822,40987378;170064770,16380662;164085319,20466852;181187712,8138176;16152232,007353649;14;161172878,9122857;170864209,80310422;163699868,84158066;166460252,3785748;168803939,54870313;166200229,89684972;3467728,0036590532;0,4301561511452766;0,4470298305090995;0,4406731975566709;0,5034723452267589;0,4069298134719114;0,4456522675819435;0,031966883719592075;94;0,6097359837939111;0,6056564706584635;0,6131618083088886;0,6019668979878057;0,6077663081595774;0,6076574937817293;0,0037687242866287856;1,94527385853599e+17;1,5568793717683738e+17;2,0924052602032877e+17;1,6768100142218445e+17;2,2153693301628022e+17;1,8973475669784595e+17;2,4740156793885384e+16;15;1,232532561660705e+17;1,2698680479902989e+17;1,2058030207683466e+17;1,2588481936736475e+17;1,2247195399387466e+17;1,2383542728063488e+17;2320560746515971,5;0,5277765080798545;0,5895385928282656;0,4704163214691982;0,5321561694818663;0,5432316815551222;0,5326238546828613;0,038066536738131845;9;0,45497095229954887;0,461573599163931;0,45522324600836905;0,4549894393182742;0,45181499775999945;0,4557144469100244;0,0031892026394626455;modelo_rf;;;;;;;
1;1;4,331376552581787;0,061684626222079986;0,031177806854248046;0,0008429942124610971;6;2;4;120;-199196068,55655378;-200504936,80153555;-169516117,6105991;-170000000,0;-165308529,6725086;-180905130,52823943;15560181,65212396;90;-161198252,0987133;-168672251,9429136;-164859352,20905107;-166940349,89865133;-170505100,7629465;-166435061,38245517;3216600,3643781706;199196068,55655378;200504936,80153555;169516117,6105991;170000000,0;165308529,6725086;180905130,52823943;15560181,65212396;19;161198252,0987133;168672251,9429136;164859352,20905107;166940349,89865133;170505100,7629465;166435061,38245517;3216600,3643781706;0,4265896892027874;0,4445924770715739;0,4369697623954113;0,5027381121993243;0,4055315609104424;0,4432843203559079;0,03249713783050878;106;0,6102917201546332;0,6057430870161042;0,612450292719275;0,6017221086514;0,6077862932437216;0,6075987003570268;0,003709531671694289;1,9574486765990986e+17;1,5637417044907446e+17;2,1062595707394374e+17;1,679289572573407e+17;2,2205923980405418e+17;1,9054663844886458e+17;2,491008526371279e+16;3;1,2307774340244253e+17;1,2695891253332314e+17;1,2080208670557803e+17;1,2596223820826192e+17;1,2246571380503627e+17;1,2385333893092838e+17;2277245512383276,5;0,5283251328673524;0,5912992520875961;0,4710155393605787;0,5310084782438923;0,5442027681106602;0,533170234134016;0,03845010744168425;4;0,45513709983263306;0,4615424136306497;0,4546581328685362;0,45444751262179905;0,45106040054735236;0,455369111900194;0,00340832257247587;modelo_rf;;;;;;;
2;2;5,325822591781616;0,02467021278392156;0,03431811332702637;0,000985084342069451;6;2;4;150;-201337641,08539116;-202907980,497052;-171889897,34172693;-166982796,53339764;-163926102,67617196;-181408883,62674794;17109864,164097358;99;-161586745,46128213;-165547057,04681215;-163724266,6364246;-165867790,8683272;-170850804,16365474;-165515332,83530015;3073571,3517139493;201337641,08539116;202907980,497052;171889897,34172693;166982796,53339764;163926102,67617196;181408883,62674794;17109864,164097358;10;161586745,46128213;165547057,04681215;163724266,6364246;165867790,8683272;170850804,16365474;165515332,83530015;3073571,3517139493;0,42443274437353473;0,44360444938745824;0,441655643554381;0,5039431319642361;0,40704792216842633;0,4441367782896073;0,03270190069226129;103;0,6100540349392806;0,6062613960973255;0,6118202469176366;0,6019881790067265;0,6081807995131847;0,6076609312948309;0,0033892751956398565;1,9648118312581907e+17;1,5665234818903318e+17;2,088729993499646e+17;1,6752201331580694e+17;2,2149281439595024e+17;1,9020427167531478e+17;2,4523908048455476e+16;6;1,231528091925698e+17;1,2679200624673461e+17;1,209984766037721e+17;1,2587808887884694e+17;1,2234253225615587e+17;1,2383278263561587e+17;2175168166743768,8;0,5296200554830379;0,5926337924503653;0,46925253462886396;0,5323608816839134;0,5416378085665008;0,5331010145625361;0,03925893976545833;5;0,45563475640043777;0,4611915692182923;0,4540637141205479;0,45609005675331943;0,45052999024561524;0,4555020173476425;0,0034503385388667224;modelo_rf;;;;;;;
3;3;3,546918773651123;0,04349696609748929;0,028641986846923827;0,0022457408107408408;6;2;5;100;-203392427,08142912;-198764894,6355279;-169880269,1069973;-170064770,16380662;-164085319,20466852;-181237536,0384859;16407707,020005926;96;-161483819,77274024;-170417976,44589123;-163699868,84158066;-165943782,17828214;-169659268,0955245;-166240943,06680375;3414912,552282161;203392427,08142912;198764894,6355279;169880269,1069973;170064770,16380662;164085319,20466852;181237536,0384859;16407707,020005926;13;161483819,77274024;170417976,44589123;163699868,84158066;165943782,17828214;169659268,0955245;166240943,06680375;3414912,552282161;0,4291150778060713;0,4475601403818483;0,4408401183133218;0,5017692774433862;0,4066994988778234;0,44519682256449017;0,03151404524834488;101;0,6086948544968027;0,6049512322511915;0,6121062147719956;0,6009744365360197;0,6066512660566785;0,6066756008225376;0,003716080371618019;1,9488277667788272e+17;1,5553862921284938e+17;2,0917808204880304e+17;1,6825613980301885e+17;2,216229653105384e+17;1,8989571861061846e+17;2,470619126430739e+16;8;1,2358206581961214e+17;1,2721390621010304e+17;1,2090933832579565e+17;1,261987023835148e+17;1,2282011731581342e+17;1,241448260109678e+17;2288125614704041,5;0,5281147077615628;0,5891618327852213;0,4711543203730176;0,5321511912740293;0,5438955306210709;0,5328955165629804;0,0377419769233101;8;0,4554264941306935;0,4619583290254625;0,45561075785048916;0,45529659281514395;0,4521095577161728;0,4560803463075924;0,0032118576679091232;modelo_rf;;;;;;;
4;4;4,192277193069458;0,06844108997538223;0,029859542846679688;0,000359091845823441;6;2;5;120;-199834442,30639872;-200802021,7430991;-168891753,11224416;-170000000,0;-163482586,8617999;-180602160,8047084;16251364,913322909;86;-161595260,2405749;-168955573,2905792;-164717634,25932735;-166136141,1148721;-170374742,48969933;-166355870,2790106;3108224,4350760905;199834442,30639872;200802021,7430991;168891753,11224416;170000000,0;163482586,8617999;180602160,8047084;16251364,913322909;23;161595260,2405749;168955573,2905792;164717634,25932735;166136141,1148721;170374742,48969933;166355870,2790106;3108224,4350760905;0,4253563818134043;0,4457172379301435;0,4371712482295266;0,5013359893736666;0,4054901943793373;0,4430142103452157;0,03213324495322583;107;0,6091446975421212;0,6050711032988616;0,6115287913637524;0,6007294439336139;0,606671777632476;0,606629162754165;0,0036761480720173163;1,96165881351455e+17;1,560574956851371e+17;2,1055058253131184e+17;1,6840246433647923e+17;2,2207469196239686e+17;1,9065022317335603e+17;2,4922133113860132e+16;2;1,2343999630308803e+17;1,2717530524368944e+17;1,2108932543794666e+17;1,2627618551078307e+17;1,2281371273400501e+17;1,2415890504590243e+17;2250788209771658,5;0,5285803175346152;0,5904949579482673;0,47155837153228386;0,5307279192393143;0,5446552315267329;0,5332033595562427;0,038055426653007;3;0,4556592805820771;0,46184766776349984;0,4551066216301933;0,4547777455334802;0,4513030322413517;0,45573886955012044;0,0034153740484199084;modelo_rf;;;;;;;
5;5;5,235860013961792;0,02613321847391951;0,035375356674194336;0,0023385359076865987;6;2;5;150;-200962215,33263826;-203230670,10621023;-171889897,34172693;-166982796,53339764;-163926102,67617196;-181398336,398029;17104930,916088607;98;-161185898,38567317;-166097784,6409897;-164640189,51387733;-166665044,94545203;-170552205,3199972;-165828224,56119788;3034849,0834059813;200962215,33263826;203230670,10621023;171889897,34172693;166982796,53339764;163926102,67617196;181398336,398029;17104930,916088607;11;161185898,38567317;166097784,6409897;164640189,51387733;166665044,94545203;170552205,3199972;165828224,56119788;3034849,0834059813;0,4233554518079161;0,44460969372852366;0,4414549867404792;0,5028754516675977;0,40711423555429205;0,4438819638997618;0,032434102281987405;104;0,6088701201809867;0,6056076436290656;0,6109744671905961;0,6010476949851435;0,6070516991091546;0,6067103250189894;0,0033539661601988606;1,9684893809415024e+17;1,563693231246554e+17;2,089480637615161e+17;1,6788257671971408e+17;2,21468043526572e+17;1,9030338904532157e+17;2,455979418402067e+16;5;1,235267133777451e+17;1,2700252811636547e+17;1,2126211234907214e+17;1,2617553313807147e+17;1,2269508517451429e+17;1,241323944311537e+17;2148641888034897,8;0,5297664065431135;0,5919676263469201;0,4696772160748152;0,5320862282953185;0,5417455470887267;0,5330486048697788;0,03892228104341427;7;0,4561499053902289;0,4614244058556526;0,4544056198278488;0,45644209389387624;0,45081461648513066;0,4558473282905474;0,0034338259885775308;modelo_rf;;;;;;;
6;6;3,4899720191955566;0,04292299943586312;0,02885899543762207;0,002797054416808027;6;2;6;100;-202879257,65521103;-198764894,6355279;-169880269,1069973;-170064770,16380662;-164085319,20466852;-181134902,1532423;16269827,885450415;94;-161483819,77274024;-171071867,30202633;-163842381,0116994;-165441950,65444162;-168862102,80354697;-166140424,3088909;3440334,2300027525;202879257,65521103;198764894,6355279;169880269,1069973;170064770,16380662;164085319,20466852;181134902,1532423;16269827,885450415;15;161483819,77274024;171071867,30202633;163842381,0116994;165441950,65444162;168862102,80354697;166140424,3088909;3440334,2300027525;0,4283141296641303;0,4483548475793506;0,44090747252351536;0,5013016714894736;0,40690118999356306;0,4451558622500066;0,03139330541214865;102;0,6071902344879787;0,6036376211039254;0,6112120328629234;0,5997464629691646;0,6054321226261574;0,6054436948100299;0,003795908627324946;1,9515619605157472e+17;1,55314880571304e+17;2,0915288527598794e+17;1,6841405373564534e+17;2,2154762510256205e+17;1,8991712814741482e+17;2,4729125617053224e+16;7;1,2405725519828715e+17;1,276369162760175e+17;1,211880613862986e+17;1,2658707015963691e+17;1,2320078547676139e+17;1,2453401769940032e+17;2325649942377064,0;0,5300922221215366;0,5889455024838097;0,4708579256879018;0,5325628041297603;0,5429397101748268;0,5330796329195671;0,03768009843868748;6;0,4560101727972188;0,4624166684062229;0,4560598692932112;0,4558944067507334;0,4523817665645372;0,4565525767623847;0,0032481803826033425;modelo_rf;;;;;;;
7;7;4,200229263305664;0,05214513031231357;0,03204078674316406;0,004397449194693404;6;2;6;120;-200370126,10300928;-199076338,62406075;-168891753,11224416;-170000000,0;-163967797,12688237;-180461202,9932393;15863227,096852683;82;-161595260,2405749;-169613303,69440436;-164717634,25932735;-167022971,22076425;-170505100,7629465;-166690854,03560346;3257550,1328259665;200370126,10300928;199076338,62406075;168891753,11224416;170000000,0;163967797,12688237;180461202,9932393;15863227,096852683;27;161595260,2405749;169613303,69440436;164717634,25932735;167022971,22076425;170505100,7629465;166690854,03560346;3257550,1328259665;0,42460827460242534;0,44585988743976224;0,4376008655151503;0,5010537398179347;0,40565761239526754;0,442956075954108;0,03206326915557703;108;0,6076520052195071;0,6037378190775078;0,6104751093485667;0,5995779960027877;0,6054995244548058;0,6053884908206351;0,0036741279559184092;1,9642126243590902e+17;1,5601733292570237e+17;2,1038986549354672e+17;1,684977820649101e+17;2,2201215421454954e+17;1,9066767942692355e+17;2,488652367084167e+16;1;1,239114186776252e+17;1,2760465044796192e+17;1,2141776585156917e+17;1,2664035073736902e+17;1,2317973977408702e+17;1,2455078509772246e+17;2271419927497434,5;0,5300880375572594;0,5906140861636293;0,4711275147246085;0,531208282392674;0,543948333804828;0,5333972509285998;0,038153254402413815;1;0,45620911031949435;0,46231280470242986;0,45559957110418736;0,4553458667138931;0,4517615616414386;0,4562457828962886;0,003410154763412322;modelo_rf;;;;;;;
8;8;5,305768537521362;0,08602920551467158;0,035602474212646486;0,0019568890768144514;6;2;6;150;-201220199,45962238;-202401078,6490441;-171889897,34172693;-166982796,53339764;-164114409,55447876;-181321676,30765396;16917117,86006846;97;-160988067,45982945;-167032224,97592598;-164640189,51387733;-166965068,42902243;-170552205,3199972;-166035551,13973048;3152194,5268888744;201220199,45962238;202401078,6490441;171889897,34172693;166982796,53339764;164114409,55447876;181321676,30765396;16917117,86006846;12;160988067,45982945;167032224,97592598;164640189,51387733;166965068,42902243;170552205,3199972;166035551,13973048;3152194,5268888744;0,4224871409004778;0,4452667596335457;0,44158950210998493;0,5022324976704466;0,4075018601355421;0,44381555208999945;0,03222789530834872;105;0,6073155685608991;0,6042972408137244;0,6099060291178267;0,5998315952956603;0,6057983149342259;0,6054297497444673;0,003357116013687407;1,9714535307041373e+17;1,561843271863821e+17;2,0889774243496736e+17;1,68099706962258e+17;2,2132324926302186e+17;1,9033007578340858e+17;2,4543449215199156e+16;4;1,2401767216742981e+17;1,274245050327807e+17;1,2159515233408944e+17;1,2656014559610421e+17;1,2308644474459166e+17;1,2453678397499914e+17;2166060147832185,5;0,5310418635941672;0,591997133627711;0,4696129561341741;0,5324233477106388;0,5411196500009277;0,5332389902135238;0,038906012560804955;2;0,4568144047200452;0,4619080966027349;0,45485485120375196;0,4569703365820536;0,45135232997979524;0,4563800038176762;0,0034263858939928868;modelo_rf;;;;;;;
9;9;3,46795768737793;0,01073466800854232;0,02727370262145996;0,0011957667330935414;6;3;4;100;-204084102,3648091;-199210192,74443159;-173327924,15258503;-171261879,33809423;-160058848,81858104;-181588589,4837002;17058594,716529787;103;-161304903,3769719;-170718007,5633887;-163743122,53233147;-161328321,83448958;-167629848,18486345;-164944840,69840902;3696246,7396258176;204084102,3648091;199210192,74443159;173327924,15258503;171261879,33809423;160058848,81858104;181588589,4837002;17058594,716529787;4;161304903,3769719;170718007,5633887;163743122,53233147;161328321,83448958;167629848,18486345;164944840,69840902;3696246,7396258176;0,4314508302848762;0,44982507633632185;0,44409612323842096;0,5082335529243459;0,4052637992440604;0,44777387640560506;0,0339017824581694;88;0,6047619264990818;0,6009390200340132;0,6081770780748754;0,5973733876183702;0,6026890793829902;0,6027880983218662;0,0036245023856781456;1,9408542171017328e+17;1,5490093982914486e+17;2,0796003174211933e+17;1,6607310694332605e+17;2,2215926017212707e+17;1,890357520793781e+17;2,51923114918308e+16;19;1,2482416389131814e+17;1,2850592185566427e+17;1,2213407905723366e+17;1,2733759608416349e+17;1,2405727963539442e+17;1,2537180810475478e+17;2289007647434113,5;0,5289367650044051;0,590799334801816;0,47075809951378744;0,5259258932384577;0,5409667365545099;0,5314773658225953;0,03829685877956335;25;0,45497333325598993;0,4623444808792204;0,45505988005231685;0,4541307375769527;0,4515590722263942;0,4556135007981748;0,003596091797427427;modelo_rf;;;;;;;
10;10;4,187967824935913;0,03878002869823581;0,030953359603881837;0,0012640109568268663;6;3;4;120;-202401477,52944005;-201440764,23842037;-173820022,30298817;-170020104,6245927;-159411717,0066237;-181418817,140413;17396178,826942846;100;-161037855,9772336;-169463412,17903423;-165185712,66179767;-161242277,8607181;-168364592,12182617;-165058770,16012198;3495105,403090069;202401477,52944005;201440764,23842037;173820022,30298817;170020104,6245927;159411717,0066237;181418817,140413;17396178,826942846;7;161037855,9772336;169463412,17903423;165185712,66179767;161242277,8607181;168364592,12182617;165058770,16012198;3495105,403090069;0,42746387556372056;0,44743864602918326;0,43892066206455704;0,5075956306068696;0,405045035206146;0,4452927698940953;0,03424793312341341;98;0,605132920730175;0,6008704123728061;0,6073477765753923;0,597107370267683;0,60255314308086;0,6026023246053833;0,00352476078971578;1,9544644698224003e+17;1,555728357689869e+17;2,0989613817164592e+17;1,6628853795103664e+17;2,2224097784250525e+17;1,8988898734328294e+17;2,534719787887928e+16;9;1,247069964223683e+17;1,2852801494717758e+17;1,2239257841812485e+17;1,2742172864994901e+17;1,240997247003822e+17;1,2542980862760038e+17;2239775696668255,2;0,5292667941079044;0,5916072051850946;0,47110879221896784;0,5255915385472305;0,541168082473477;0,5317484825065348;0,03845265743389889;22;0,4554747983345458;0,46217326401907644;0,45426040707016835;0,4539848058686421;0,45120722587111584;0,4554201002327097;0,003654079406285087;modelo_rf;;;;;;;
11;11;5,191660833358765;0,039076414536147006;0,034455490112304685;0,0014400185683021258;6;3;4;150;-203347055,9917601;-200240673,86669058;-175657339,9934064;-167730420,60507682;-157679727,70893323;-180931043,6331734;17989060,678280577;91;-161038622,90182346;-167438954,3525064;-163913913,0234881;-163812080,6685834;-169589826,0177635;-165158679,39283296;3005739,550621744;203347055,9917601;200240673,86669058;175657339,9934064;167730420,60507682;157679727,70893323;180931043,6331734;17989060,678280577;16;161038622,90182346;167438954,3525064;163913913,0234881;163812080,6685834;169589826,0177635;165158679,39283296;3005739,550621744;0,42403596692392154;0,4459087926773917;0,4426843242677194;0,5081290024612184;0,4062606348146186;0,44540374422897394;0,03444088634383609;95;0,6049912398393377;0,6014790268704944;0,606797782156137;0,5970979269882156;0,6026468188603172;0,6026025589429004;0,0033127315148811886;1,9661663089838698e+17;1,560035637280426e+17;2,084881765726086e+17;1,661084143953639e+17;2,217868996993881e+17;1,8980073705875805e+17;2,498946371262319e+16;12;1,2475174210838355e+17;1,2833202844133877e+17;1,2256401571319762e+17;1,2742471524961616e+17;1,2407047515861494e+17;1,2542859533423019e+17;2141161163016085,2;0,531197335540985;0,592561697329735;0,4695247365671393;0,5282155240462746;0,5393116737971214;0,532162193456251;0,0390875256138608;19;0,45617191916157984;0,46149310107821395;0,45353886153821454;0,4557007416888086;0,45094381563776387;0,45556968782091617;0,0034925529678466495;modelo_rf;;;;;;;
12;12;3,5056631088256838;0,035082544007162667;0,027483272552490234;0,0005548649038103283;6;3;5;100;-204084102,3648091;-199210192,74443159;-173327924,15258503;-171261879,33809423;-160058848,81858104;-181588589,4837002;17058594,716529787;103;-161304903,3769719;-170718007,5633887;-163743122,53233147;-161328321,83448958;-167629848,18486345;-164944840,69840902;3696246,7396258176;204084102,3648091;199210192,74443159;173327924,15258503;171261879,33809423;160058848,81858104;181588589,4837002;17058594,716529787;4;161304903,3769719;170718007,5633887;163743122,53233147;161328321,83448958;167629848,18486345;164944840,69840902;3696246,7396258176;0,4314508302848762;0,44982507633632185;0,44409612323842096;0,5082335529243459;0,4052637992440604;0,44777387640560506;0,0339017824581694;88;0,6047619264990818;0,6009390200340132;0,6081770780748754;0,5973733876183702;0,6026890793829902;0,6027880983218662;0,0036245023856781456;1,9408542171017328e+17;1,5490093982914486e+17;2,0796003174211933e+17;1,6607310694332605e+17;2,2215926017212707e+17;1,890357520793781e+17;2,51923114918308e+16;19;1,2482416389131814e+17;1,2850592185566427e+17;1,2213407905723366e+17;1,2733759608416349e+17;1,2405727963539442e+17;1,2537180810475478e+17;2289007647434113,5;0,5289367650044051;0,590799334801816;0,47075809951378744;0,5259258932384577;0,5409667365545099;0,5314773658225953;0,03829685877956335;25;0,45497333325598993;0,4623444808792204;0,45505988005231685;0,4541307375769527;0,4515590722263942;0,4556135007981748;0,003596091797427427;modelo_rf;;;;;;;
13;13;4,218947792053223;0,07711983184962681;0,03012261390686035;0,0005722823010762613;6;3;5;120;-202401477,52944005;-201440764,23842037;-173820022,30298817;-170020104,6245927;-159411717,0066237;-181418817,140413;17396178,826942846;100;-161037855,9772336;-169463412,17903423;-165185712,66179767;-161242277,8607181;-168364592,12182617;-165058770,16012198;3495105,403090069;202401477,52944005;201440764,23842037;173820022,30298817;170020104,6245927;159411717,0066237;181418817,140413;17396178,826942846;7;161037855,9772336;169463412,17903423;165185712,66179767;161242277,8607181;168364592,12182617;165058770,16012198;3495105,403090069;0,42746387556372056;0,44743864602918326;0,43892066206455704;0,5075956306068696;0,405045035206146;0,4452927698940953;0,03424793312341341;98;0,605132920730175;0,6008704123728061;0,6073477765753923;0,597107370267683;0,60255314308086;0,6026023246053833;0,00352476078971578;1,9544644698224003e+17;1,555728357689869e+17;2,0989613817164592e+17;1,6628853795103664e+17;2,2224097784250525e+17;1,8988898734328294e+17;2,534719787887928e+16;9;1,247069964223683e+17;1,2852801494717758e+17;1,2239257841812485e+17;1,2742172864994901e+17;1,240997247003822e+17;1,2542980862760038e+17;2239775696668255,2;0,5292667941079044;0,5916072051850946;0,47110879221896784;0,5255915385472305;0,541168082473477;0,5317484825065348;0,03845265743389889;22;0,4554747983345458;0,46217326401907644;0,45426040707016835;0,4539848058686421;0,45120722587111584;0,4554201002327097;0,003654079406285087;modelo_rf;;;;;;;
14;14;5,182749795913696;0,02217613444337746;0,03762707710266113;0,0058634387684233106;6;3;5;150;-203347055,9917601;-200240673,86669058;-175657339,9934064;-167730420,60507682;-157679727,70893323;-180931043,6331734;17989060,678280577;91;-161038622,90182346;-167438954,3525064;-163913913,0234881;-163812080,6685834;-169589826,0177635;-165158679,39283296;3005739,550621744;203347055,9917601;200240673,86669058;175657339,9934064;167730420,60507682;157679727,70893323;180931043,6331734;17989060,678280577;16;161038622,90182346;167438954,3525064;163913913,0234881;163812080,6685834;169589826,0177635;165158679,39283296;3005739,550621744;0,42403596692392154;0,4459087926773917;0,4426843242677194;0,5081290024612184;0,4062606348146186;0,44540374422897394;0,03444088634383609;95;0,6049912398393377;0,6014790268704944;0,606797782156137;0,5970979269882156;0,6026468188603172;0,6026025589429004;0,0033127315148811886;1,9661663089838698e+17;1,560035637280426e+17;2,084881765726086e+17;1,661084143953639e+17;2,217868996993881e+17;1,8980073705875805e+17;2,498946371262319e+16;12;1,2475174210838355e+17;1,2833202844133877e+17;1,2256401571319762e+17;1,2742471524961616e+17;1,2407047515861494e+17;1,2542859533423019e+17;2141161163016085,2;0,531197335540985;0,592561697329735;0,4695247365671393;0,5282155240462746;0,5393116737971214;0,532162193456251;0,0390875256138608;19;0,45617191916157984;0,46149310107821395;0,45353886153821454;0,4557007416888086;0,45094381563776387;0,45556968782091617;0,0034925529678466495;modelo_rf;;;;;;;
15;15;3,4879457473754885;0,032451891628789954;0,028294944763183595;0,0015981125586017183;6;3;6;100;-204084102,3648091;-199210192,74443159;-173327924,15258503;-171261879,33809423;-160058848,81858104;-181588589,4837002;17058594,716529787;103;-161304903,3769719;-170718007,5633887;-163743122,53233147;-161328321,83448958;-167629848,18486345;-164944840,69840902;3696246,7396258176;204084102,3648091;199210192,74443159;173327924,15258503;171261879,33809423;160058848,81858104;181588589,4837002;17058594,716529787;4;161304903,3769719;170718007,5633887;163743122,53233147;161328321,83448958;167629848,18486345;164944840,69840902;3696246,7396258176;0,4314508302848762;0,44982507633632185;0,44409612323842096;0,5082335529243459;0,4052637992440604;0,44777387640560506;0,0339017824581694;88;0,6047619264990818;0,6009390200340132;0,6081770780748754;0,5973733876183702;0,6026890793829902;0,6027880983218662;0,0036245023856781456;1,9408542171017328e+17;1,5490093982914486e+17;2,0796003174211933e+17;1,6607310694332605e+17;2,2215926017212707e+17;1,890357520793781e+17;2,51923114918308e+16;19;1,2482416389131814e+17;1,2850592185566427e+17;1,2213407905723366e+17;1,2733759608416349e+17;1,2405727963539442e+17;1,2537180810475478e+17;2289007647434113,5;0,5289367650044051;0,590799334801816;0,47075809951378744;0,5259258932384577;0,5409667365545099;0,5314773658225953;0,03829685877956335;25;0,45497333325598993;0,4623444808792204;0,45505988005231685;0,4541307375769527;0,4515590722263942;0,4556135007981748;0,003596091797427427;modelo_rf;;;;;;;
16;16;4,15614504814148;0,017123983799929826;0,030173683166503908;0,0001810972409768077;6;3;6;120;-202401477,52944005;-201440764,23842037;-173820022,30298817;-170020104,6245927;-159411717,0066237;-181418817,140413;17396178,826942846;100;-161037855,9772336;-169463412,17903423;-165185712,66179767;-161242277,8607181;-168364592,12182617;-165058770,16012198;3495105,403090069;202401477,52944005;201440764,23842037;173820022,30298817;170020104,6245927;159411717,0066237;181418817,140413;17396178,826942846;7;161037855,9772336;169463412,17903423;165185712,66179767;161242277,8607181;168364592,12182617;165058770,16012198;3495105,403090069;0,42746387556372056;0,44743864602918326;0,43892066206455704;0,5075956306068696;0,405045035206146;0,4452927698940953;0,03424793312341341;98;0,605132920730175;0,6008704123728061;0,6073477765753923;0,597107370267683;0,60255314308086;0,6026023246053833;0,00352476078971578;1,9544644698224003e+17;1,555728357689869e+17;2,0989613817164592e+17;1,6628853795103664e+17;2,2224097784250525e+17;1,8988898734328294e+17;2,534719787887928e+16;9;1,247069964223683e+17;1,2852801494717758e+17;1,2239257841812485e+17;1,2742172864994901e+17;1,240997247003822e+17;1,2542980862760038e+17;2239775696668255,2;0,5292667941079044;0,5916072051850946;0,47110879221896784;0,5255915385472305;0,541168082473477;0,5317484825065348;0,03845265743389889;22;0,4554747983345458;0,46217326401907644;0,45426040707016835;0,4539848058686421;0,45120722587111584;0,4554201002327097;0,003654079406285087;modelo_rf;;;;;;;
17;17;5,184564828872681;0,012426954660879178;0,033808422088623044;0,0002760551280673761;6;3;6;150;-203347055,9917601;-200240673,86669058;-175657339,9934064;-167730420,60507682;-157679727,70893323;-180931043,6331734;17989060,678280577;91;-161038622,90182346;-167438954,3525064;-163913913,0234881;-163812080,6685834;-169589826,0177635;-165158679,39283296;3005739,550621744;203347055,9917601;200240673,86669058;175657339,9934064;167730420,60507682;157679727,70893323;180931043,6331734;17989060,678280577;16;161038622,90182346;167438954,3525064;163913913,0234881;163812080,6685834;169589826,0177635;165158679,39283296;3005739,550621744;0,42403596692392154;0,4459087926773917;0,4426843242677194;0,5081290024612184;0,4062606348146186;0,44540374422897394;0,03444088634383609;95;0,6049912398393377;0,6014790268704944;0,606797782156137;0,5970979269882156;0,6026468188603172;0,6026025589429004;0,0033127315148811886;1,9661663089838698e+17;1,560035637280426e+17;2,084881765726086e+17;1,661084143953639e+17;2,217868996993881e+17;1,8980073705875805e+17;2,498946371262319e+16;12;1,2475174210838355e+17;1,2833202844133877e+17;1,2256401571319762e+17;1,2742471524961616e+17;1,2407047515861494e+17;1,2542859533423019e+17;2141161163016085,2;0,531197335540985;0,592561697329735;0,4695247365671393;0,5282155240462746;0,5393116737971214;0,532162193456251;0,0390875256138608;19;0,45617191916157984;0,46149310107821395;0,45353886153821454;0,4557007416888086;0,45094381563776387;0,45556968782091617;0,0034925529678466495;modelo_rf;;;;;;;
