;index;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_rf__max_depth;param_rf__min_samples_leaf;param_rf__min_samples_split;param_rf__n_estimators;split0_test_metrica;split1_test_metrica;split2_test_metrica;split3_test_metrica;split4_test_metrica;mean_test_metrica;std_test_metrica;rank_test_metrica;split0_train_metrica;split1_train_metrica;split2_train_metrica;split3_train_metrica;split4_train_metrica;mean_train_metrica;std_train_metrica;split0_test_meae;split1_test_meae;split2_test_meae;split3_test_meae;split4_test_meae;mean_test_meae;std_test_meae;rank_test_meae;split0_train_meae;split1_train_meae;split2_train_meae;split3_train_meae;split4_train_meae;mean_train_meae;std_train_meae;split0_test_r2;split1_test_r2;split2_test_r2;split3_test_r2;split4_test_r2;mean_test_r2;std_test_r2;rank_test_r2;split0_train_r2;split1_train_r2;split2_train_r2;split3_train_r2;split4_train_r2;mean_train_r2;std_train_r2;split0_test_rmse;split1_test_rmse;split2_test_rmse;split3_test_rmse;split4_test_rmse;mean_test_rmse;std_test_rmse;rank_test_rmse;split0_train_rmse;split1_train_rmse;split2_train_rmse;split3_train_rmse;split4_train_rmse;mean_train_rmse;std_train_rmse;split0_test_mape;split1_test_mape;split2_test_mape;split3_test_mape;split4_test_mape;mean_test_mape;std_test_mape;rank_test_mape;split0_train_mape;split1_train_mape;split2_train_mape;split3_train_mape;split4_train_mape;mean_train_mape;std_train_mape;escenario;param_gbt__max_depth;param_gbt__min_samples_leaf;param_gbt__min_samples_split;param_gbt__n_estimators;param_rnn__alpha;param_rnn__hidden_layer_sizes;param_rnn__learning_rate_init;param_rnn__max_iter
0;0;1,7696697235107421;0,021679048836556757;0,026262855529785155;0,0011338717753281745;6;2;4;100;-90766056,1438328;-74405249,73868242;-89873065,96617457;-89380605,96122468;-73563504,9736278;-83597696,55670846;7866304,860665221;89;-75010722,2169863;-73702049,82056147;-73701609,64100584;-72643387,38002679;-75585632,87898962;-74128680,38751401;1046059,9153612131;90766056,1438328;74405249,73868242;89873065,96617457;89380605,96122468;73563504,9736278;83597696,55670846;7866304,860665221;20;75010722,2169863;73702049,82056147;73701609,64100584;72643387,38002679;75585632,87898962;74128680,38751401;1046059,9153612131;0,7409172381548046;0,6983603779334817;0,7074031170857273;0,6769620594067762;0,7834826570172329;0,7214250899196045;0,037246860862201914;84;0,84197664864184;0,8411431833091261;0,8470477625773839;0,8481145194385463;0,841482205258175;0,8439528638450142;0,0029933813836037926;8,844298746536989e+16;8,492619154044592e+16;1,0945859455589755e+17;1,0909226274772053e+17;8,087843428791962e+16;9,455969411947069e+16;1,2252086581151496e+16;25;4,990696501950361e+16;5,115519355878137e+16;4,767633441548464e+16;4,8036397446205896e+16;4,949596240378481e+16;4,9254170568752056e+16;1270514116379196,8;0,2755435458104724;0,2549327556151188;0,250864507179864;0,26840037935956884;0,23382504036224508;0,25671324566545384;0,014508046913555247;20;0,220066875081919;0,2199300678363603;0,215113893659144;0,21939877306801797;0,22281240521448284;0,21946440297198483;0,00247871636095555;modelo_rf;;;;;;;;
1;1;2,106939506530762;0,03174788237592689;0,02791881561279297;0,0006324851361371606;6;2;4;120;-93660041,85230342;-74489376,12486917;-90806826,39890152;-88592328,49377722;-74875341,00389484;-84484782,77474923;8164252,222999214;101;-75550733,20807242;-73816129,23357758;-73460755,6175291;-73047416,33275455;-75259039,2378567;-74226814,72595808;996467,4898257529;93660041,85230342;74489376,12486917;90806826,39890152;88592328,49377722;74875341,00389484;84484782,77474923;8164252,222999214;8;75550733,20807242;73816129,23357758;73460755,6175291;73047416,33275455;75259039,2378567;74226814,72595808;996467,4898257529;0,7420579863548216;0,6979373289342218;0,7038751263847116;0,6766140801130223;0,7794879605894374;0,7199944964752429;0,036481455874953855;91;0,8423292064851035;0,841306663692172;0,8466927260101774;0,8476502030925505;0,8408202837291602;0,8437598166018327;0,0028440296291882554;8,805357067037861e+16;8,504530036340494e+16;1,1077839297580277e+17;1,0920977788688738e+17;8,237062326495394e+16;9,509153303228552e+16;1,2310025694656462e+16;19;4,97956201340808e+16;5,110254948085017e+16;4,778700191792261e+16;4,818324548233536e+16;4,9702642311032616e+16;4,93142118652443e+16;1199353054140339,8;0,27562251621557055;0,25534604989136983;0,2521310081666424;0,26906203455131134;0,2356531039626961;0,257562942557518;0,013948755277539953;5;0,22077820883745905;0,2199804783138291;0,21579812133016577;0,22023059110899307;0,22271023502994544;0,2198995269240785;0,0022631768127613274;modelo_rf;;;;;;;;
2;2;2,56812105178833;0,019752862596483765;0,0313662052154541;0,0015474975455189157;6;2;4;150;-89709167,96045755;-74190858,58016919;-91882702,20303819;-89204979,72554514;-72762406,35805087;-83550022,96545218;8286299,250733681;88;-75173076,03154537;-73174449,24446571;-73641971,60084996;-72758920,18909752;-75494792,77560937;-74048641,96831359;1090750,2091665186;89709167,96045755;74190858,58016919;91882702,20303819;89204979,72554514;72762406,35805087;83550022,96545218;8286299,250733681;21;75173076,03154537;73174449,24446571;73641971,60084996;72758920,18909752;75494792,77560937;74048641,96831359;1090750,2091665186;0,7433147939086807;0,6984536825703995;0,703421399173723;0,6763546460665744;0,7774358585875563;0,7197960760613868;0,03601738541854044;93;0,8423218814010152;0,8416160722759319;0,8462593550998225;0,8481070297615882;0,8412752031455031;0,8439159083367723;0,0027517533761098247;8,762453473629834e+16;8,489992175727818e+16;1,1094812938014146e+17;1,0929739065184253e+17;8,313717062150664e+16;9,51814294294134e+16;1,229414019943043e+16;16;4,979793354353716e+16;5,100291349216111e+16;4,792208680975677e+16;4,8038766185454536e+16;4,956059722161704e+16;4,926445945050532e+16;1157480274474309,5;0,2751289602351917;0,2554020435784768;0,2514863606384462;0,26970744309082634;0,23620280959617526;0,25758552342782326;0,013812320102867613;4;0,22094626466425119;0,21975236753479982;0,21565895756834386;0,22055855581046188;0,22238809710366805;0,219860848536305;0,0022680196104432927;modelo_rf;;;;;;;;
3;3;1,7228579998016358;0,02104305178682783;0,024545764923095702;0,0010611125925851996;6;2;5;100;-92367508,83035439;-74405249,73868242;-89873065,96617457;-89380605,96122468;-72427407,76574284;-83690767,65243578;8473075,341959445;90;-74695306,44019058;-73702049,82056147;-73650785,95885599;-72645515,65873533;-75690352,69041052;-74076802,11375077;1035046,1851585582;92367508,83035439;74405249,73868242;89873065,96617457;89380605,96122468;72427407,76574284;83690767,65243578;8473075,341959445;19;74695306,44019058;73702049,82056147;73650785,95885599;72645515,65873533;75690352,69041052;74076802,11375077;1035046,1851585582;0,7415080450411262;0,698641135446129;0,707438280659936;0,6778621731164585;0,7830625552061548;0,7217024378939609;0,03691770507218162;83;0,8411030555097735;0,8403335118642294;0,846359274798153;0,8474942031795434;0,8405567069897382;0,8431693504682876;0,0030989491636416954;8,82413039350985e+16;8,48471446760713e+16;1,0944544009104437e+17;1,0878828779933162e+17;8,103536017779728e+16;9,447150733586859e+16;1,2175078697660546e+16;26;5,018286336939054e+16;5,141592457647073e+16;4,789094110680677e+16;4,8232583139859176e+16;4,9784942121007864e+16;4,9501450862707016e+16;1297202133086812,8;0,2754022318740439;0,2551664978687971;0,25096681498419393;0,2682820636973756;0,23418799992176215;0,2568011216692345;0,014323950120934336;13;0,2202174767982376;0,22017866761915297;0,21526484516024177;0,21953564053772734;0,22298288992909343;0,21963590400889066;0,002488025008635194;modelo_rf;;;;;;;;
4;4;2,063318681716919;0,010436068981005964;0,028241920471191406;0,0006664870232388701;6;2;5;120;-95206916,85230342;-74489376,12486917;-90806826,39890152;-88592328,49377722;-74875341,00389484;-84794157,77474923;8527312,44164797;108;-75255111,01939096;-74133245,49351159;-73334650,21843454;-73047416,33275455;-74953304,22797202;-74144745,45841274;865701,6483620094;95206916,85230342;74489376,12486917;90806826,39890152;88592328,49377722;74875341,00389484;84794157,77474923;8527312,44164797;1;75255111,01939096;74133245,49351159;73334650,21843454;73047416,33275455;74953304,22797202;74144745,45841274;865701,6483620094;0,7422322149095544;0,6979937625847912;0,7039691900366991;0,6774354246850758;0,7793571417981489;0,7201975468028539;0,036250106106127285;86;0,8414037168217987;0,840528872064183;0,8459909240845918;0,8470071818005549;0,839901045572736;0,8429663480687729;0,002941278035227381;8,799409433249874e+16;8,502941155216475e+16;1,1074320437419226e+17;1,089324038493476e+17;8,24194896461366e+16;9,5023720750868e+16;1,2237010554874008e+16;23;5,008790845637928e+16;5,135301453552641e+16;4,800575872633206e+16;4,838661203346644e+16;4,998966735642009e+16;4,9564592221624856e+16;1222342203671311,8;0,2757046692271089;0,2556619192559925;0,2521782187798723;0,26896414322488177;0,23577809306940495;0,25765740871145204;0,013901466188245554;2;0,22097760794752216;0,2202619244912516;0,21597634617803937;0,22038889402088055;0,2228819844108411;0,22009735140970696;0,002263793190028731;modelo_rf;;;;;;;;
5;5;2,558077573776245;0,04268027353128403;0,03115420341491699;0,0007324891351324143;6;2;5;150;-91374406,13979518;-74190858,58016919;-91882702,20303819;-90412128,64680442;-71403292,74922466;-83852677,66380633;9082092,526745921;92;-75274279,91487557;-73220126,06040436;-73017511,17493668;-72843841,97077802;-75494792,77560937;-73970110,3793208;1163092,1578204117;91374406,13979518;74190858,58016919;91882702,20303819;90412128,64680442;71403292,74922466;83852677,66380633;9082092,526745921;17;75274279,91487557;73220126,06040436;73017511,17493668;72843841,97077802;75494792,77560937;73970110,3793208;1163092,1578204117;0,7433488874560212;0,6984757518465301;0,7033012765559387;0,6770041289209509;0,7771049242914363;0,7198469938141755;0,03576817418426533;92;0,841436459147112;0,8408960508036568;0,8455831136918179;0,8475081856371133;0,8403037985453325;0,8431455215650064;0,002864649924780195;8,761289623453693e+16;8,489370818507243e+16;1,1099306647169931e+17;1,0907805556671394e+17;8,32607886529938e+16;9,516770302220328e+16;1,2233925956366314e+16;17;5,0077567768942776e+16;5,1234775357128424e+16;4,813287621733204e+16;4,8228160946989784e+16;4,9863910837903576e+16;4,950745822565932e+16;1179981784063942,0;0,2751452119705468;0,2556590306042363;0,25156108289173446;0,2696265551474557;0,23641462193149748;0,25768130050909416;0,013722212422809223;1;0,22113665565083426;0,22002409148671864;0,21579392354959812;0,22064864191139158;0,22258192037456187;0,22003704659462092;0,0022831483733589237;modelo_rf;;;;;;;;
6;6;1,6931549072265626;0,016142516754545616;0,02484731674194336;0,0016898822459081903;6;2;6;100;-91800084,40792173;-74405249,73868242;-89873065,96617457;-89380605,96122468;-73212407,76574284;-83734282,76794925;8153079,0708335955;91;-74120696,8359504;-74004928,1564402;-74287241,1588437;-72645515,65873533;-76036816,7547079;-74219039,71293552;1080782,8496089182;91800084,40792173;74405249,73868242;89873065,96617457;89380605,96122468;73212407,76574284;83734282,76794925;8153079,0708335955;18;74120696,8359504;74004928,1564402;74287241,1588437;72645515,65873533;76036816,7547079;74219039,71293552;1080782,8496089182;0,741794156736403;0,6992079476308113;0,7077637660216084;0,6778196214787586;0,7838872705783321;0,7220945524891828;0,03713718367093133;82;0,8404339738664948;0,8392783787664707;0,8454441007976288;0,8464220453831037;0,8397687996133392;0,8422694596854076;0,00302956063544571;8,814363409053283e+16;8,468755953989458e+16;1,0932367813007498e+17;1,0880265779696034e+17;8,072729391799568e+16;9,433696469509168e+16;1,2251933390181402e+16;27;5,039417286181247e+16;5,175569934327322e+16;4,817620755620689e+16;4,8571671496721464e+16;5,003096014026824e+16;4,978574227965646e+16;1294265837988900,8;0,2751621542277287;0,2551407967847864;0,25078434877499606;0,2682963100730168;0,23412733420007217;0,25670218881212004;0,014298788812210313;21;0,22042092555109344;0,220448805800294;0,21574405628399196;0,21994348204545358;0,22327859198716687;0,21996717233359994;0,002418207323571069;modelo_rf;;;;;;;;
7;7;2,0274355888366697;0,014141930348155743;0,03190321922302246;0,00619550571760836;6;2;6;120;-93680295,45257264;-74489376,12486917;-90806826,39890152;-88592328,49377722;-74847589,8652657;-84483283,26707725;8175344,039929462;100;-75437847,18494138;-74063596,97361448;-73329316,06994563;-73047416,33275455;-74953304,22797202;-74166296,15784562;916427,6916299493;93680295,45257264;74489376,12486917;90806826,39890152;88592328,49377722;74847589,8652657;84483283,26707725;8175344,039929462;9;75437847,18494138;74063596,97361448;73329316,06994563;73047416,33275455;74953304,22797202;74166296,15784562;916427,6916299493;0,7422966757351128;0,6984909173250082;0,704232128966235;0,6774523092162688;0,7798471805344174;0,7204638423554084;0,03632994193110593;85;0,8407086146200031;0,8395341909862761;0,8451270668513692;0,84604721865333;0,8391047417295447;0,8421043665681047;0,0029063542372730683;8,797208936410075e+16;8,488943836693245e+16;1,1064484062747574e+17;1,0892670182032309e+17;8,223643934086392e+16;9,49339019039392e+16;1,2273676565735968e+16;24;5,030743576656377e+16;5,16733224966799e+16;4,82750293629201e+16;4,869021690144557e+16;5,023830710786743e+16;4,983686232709535e+16;1225504073315208,5;0,27548258362227834;0,2555231960008201;0,2519394477468047;0,26893287828416057;0,23584437414224774;0,25754449595926227;0,013841009694696031;6;0,22120001753976842;0,22048818575575593;0,21639425895287548;0,22074577300079767;0,2231756156207309;0,22040077017398568;0,002214378657969762;modelo_rf;;;;;;;;
8;8;2,5179553031921387;0,012877865222677948;0,03100285530090332;0,0013930545413209244;6;2;6;150;-91374406,13979518;-74190858,58016919;-91882702,20303819;-89774715,28110066;-72464126,08255807;-83937361,65733226;8707952,929795915;93;-75249444,28137517;-73258951,08663857;-73360095,90978208;-73110659,001096;-75390405,43475214;-74073911,14272878;1021428,6219952293;91374406,13979518;74190858,58016919;91882702,20303819;89774715,28110066;72464126,08255807;83937361,65733226;8707952,929795915;16;75249444,28137517;73258951,08663857;73360095,90978208;73110659,001096;75390405,43475214;74073911,14272878;1021428,6219952293;0,7435560728206523;0,6984837063035597;0,7036957310054792;0,6769080228939856;0,7775971570793837;0,7200481380206122;0,03593885934972442;87;0,8406449543385592;0,8398779850052189;0,8446906025080715;0,8466050928592845;0,8394919944318477;0,8422621258285965;0,00285418502068577;8,754216944253978e+16;8,489146861940571e+16;1,1084550362265936e+17;1,091105112712237e+17;8,307691877612421e+16;9,509331434639056e+16;1,2248301798389984e+16;18;5,032754096881295e+16;5,156261368386518e+16;4,8411078500494984e+16;4,8513779581807416e+16;5,01173904295527e+16;4,978648063290665e+16;1188982353664367,8;0,27499801836564625;0,25572754604134296;0,25134111009744714;0,2696024082233403;0,23645725269660614;0,2576252670848766;0,013685329402377695;3;0,22140191001713652;0,2202649479096956;0,21618610318957007;0,2210008614382894;0,22289023749195727;0,22034881200932976;0,0022506979033586083;modelo_rf;;;;;;;;
9;9;1,7026782989501954;0,017962816591235886;0,024073457717895506;0,000657499769247502;6;3;4;100;-90749151,39021686;-72662264,30978379;-93335048,67886242;-89889843,84832567;-74877922,20440277;-84302846,0863183;8702671,015413553;97;-75198682,31619123;-73539250,15120101;-73859956,13727272;-71779301,3302226;-74965557,1549566;-73868549,41796882;1220340,0284890048;90749151,39021686;72662264,30978379;93335048,67886242;89889843,84832567;74877922,20440277;84302846,0863183;8702671,015413553;10;75198682,31619123;73539250,15120101;73859956,13727272;71779301,3302226;74965557,1549566;73868549,41796882;1220340,0284890048;0,7390175438833235;0,6976723643293608;0,7065037289970824;0,6759480950088802;0,7810521639612823;0,7200387792359859;0,03663405290036951;88;0,8382382724143449;0,8368981953732497;0,8425126131148936;0,8438801171322932;0,8366935413165077;0,8396445478702578;0,0029797431968875327;8,909148540264683e+16;8,511990075784154e+16;1,0979504980163658e+17;1,0943468590182118e+17;8,178632679299525e+16;9,504548973138827e+16;1,21191697285118e+16;20;5,108761971396376e+16;5,252216781923765e+16;4,908997377141291e+16;4,937560005713623e+16;5,099118589466888e+16;5,061330945128389e+16;1254111417584989,5;0,274248756177833;0,25470991523229447;0,2504088563765448;0,2680759552785668;0,23464358621916329;0,2564174138568805;0,013906805827310933;22;0,21890611769426302;0,21970158707385493;0,21408741176468188;0,21873403440251302;0,22236719100753471;0,21875926838856952;0,0026740798759901127;modelo_rf;;;;;;;;
10;10;2,0285532474517822;0,015681191145346714;0,027974033355712892;0,001458159684331351;6;3;4;120;-90181694,88494295;-73329061,21727845;-88912097,91895312;-88577245,69855699;-74085431,76822749;-83017106,2975918;7624046,60763255;82;-74959593,70854983;-74113930,53236896;-73823648,92068899;-72748412,43239665;-74023260,62947975;-73933769,24469683;708516,7445292129;90181694,88494295;73329061,21727845;88912097,91895312;88577245,69855699;74085431,76822749;83017106,2975918;7624046,60763255;25;74959593,70854983;74113930,53236896;73823648,92068899;72748412,43239665;74023260,62947975;73933769,24469683;708516,7445292129;0,7404342272856366;0,6967317688431982;0,7031359587420698;0,6759372129943675;0,7780509424256193;0,7188580220581783;0,036189182528995764;94;0,8386838909070982;0,8369163326152835;0,842040561417619;0,8434975874927161;0,8359855561205546;0,8394247857106543;0,002901708431946299;8,860787270876939e+16;8,538472403229286e+16;1,110549107927355e+17;1,0943836083729245e+17;8,29074106535843e+16;9,54786558049349e+16;1,2203478255612812e+16;13;5,0946884396437976e+16;5,251632725069179e+16;4,923711574828036e+16;4,949658163966641e+16;5,12122488276879e+16;5,068183157255288e+16;1200749022353597,2;0,27407643604772697;0,255369561933325;0,25185766441764285;0,268508212569758;0,23564683291400396;0,2570917415764914;0,013483777142862184;7;0,2193901894992803;0,21995324887505321;0,21483629170053034;0,21930848894136337;0,22242218737516903;0,21918208127827926;0,002451047203316252;modelo_rf;;;;;;;;
11;11;2,565660762786865;0,018543199638036648;0,030810165405273437;0,000579702925614895;6;3;4;150;-94081422,55920282;-72953902,25692698;-90236906,23126885;-89182980,90933388;-76382049,2992303;-84567452,25119257;8316691,760589977;105;-74309390,3841933;-73566308,65126622;-73052113,60749058;-72457820,66336131;-74742327,10944209;-73625592,0831507;825924,8648240523;94081422,55920282;72953902,25692698;90236906,23126885;89182980,90933388;76382049,2992303;84567452,25119257;8316691,760589977;2;74309390,3841933;73566308,65126622;73052113,60749058;72457820,66336131;74742327,10944209;73625592,0831507;825924,8648240523;0,7415516600996079;0,6962994989332718;0,7029739333539047;0,6753656616024679;0,7760940417479323;0,7184569591474369;0,03589689556978731;100;0,8385609628947766;0,8371834887507666;0,8417391632202262;0,8440561933533701;0,8366959969711696;0,8396471610380617;0,002820457976392914;8,822641507856814e+16;8,550642898907568e+16;1,1111552343868811e+17;1,0963137790056502e+17;8,363839626742909e+16;9,562362833486523e+16;1,2140330605672118e+16;7;5,0985707544777256e+16;5,243029742769935e+16;4,933106377737267e+16;4,931991292163643e+16;5,099041913538475e+16;5,06114801613741e+16;1174678609661276,8;0,2739261249620173;0,25602823467510427;0,25101969193404267;0,26878698208634855;0,23550544172184587;0,25705329507587177;0,013595123383710455;10;0,2198920378236008;0,21975892198907845;0,21480590226680818;0,219853155264112;0,22195864919303362;0,21925373330732661;0,002371570191062962;modelo_rf;;;;;;;;
12;12;1,7168311595916748;0,015404178142551968;0,026447200775146486;0,0040666574413336185;6;3;5;100;-90749151,39021686;-72662264,30978379;-93335048,67886242;-89889843,84832567;-74877922,20440277;-84302846,0863183;8702671,015413553;97;-75198682,31619123;-73539250,15120101;-73859956,13727272;-71779301,3302226;-74965557,1549566;-73868549,41796882;1220340,0284890048;90749151,39021686;72662264,30978379;93335048,67886242;89889843,84832567;74877922,20440277;84302846,0863183;8702671,015413553;10;75198682,31619123;73539250,15120101;73859956,13727272;71779301,3302226;74965557,1549566;73868549,41796882;1220340,0284890048;0,7390175438833235;0,6976723643293608;0,7065037289970824;0,6759480950088802;0,7810521639612823;0,7200387792359859;0,03663405290036951;88;0,8382382724143449;0,8368981953732497;0,8425126131148936;0,8438801171322932;0,8366935413165077;0,8396445478702578;0,0029797431968875327;8,909148540264683e+16;8,511990075784154e+16;1,0979504980163658e+17;1,0943468590182118e+17;8,178632679299525e+16;9,504548973138827e+16;1,21191697285118e+16;20;5,108761971396376e+16;5,252216781923765e+16;4,908997377141291e+16;4,937560005713623e+16;5,099118589466888e+16;5,061330945128389e+16;1254111417584989,5;0,274248756177833;0,25470991523229447;0,2504088563765448;0,2680759552785668;0,23464358621916329;0,2564174138568805;0,013906805827310933;22;0,21890611769426302;0,21970158707385493;0,21408741176468188;0,21873403440251302;0,22236719100753471;0,21875926838856952;0,0026740798759901127;modelo_rf;;;;;;;;
13;13;2,084703207015991;0,010683786625096075;0,028455686569213868;0,0012006389738721988;6;3;5;120;-90181694,88494295;-73329061,21727845;-88912097,91895312;-88577245,69855699;-74085431,76822749;-83017106,2975918;7624046,60763255;82;-74959593,70854983;-74113930,53236896;-73823648,92068899;-72748412,43239665;-74023260,62947975;-73933769,24469683;708516,7445292129;90181694,88494295;73329061,21727845;88912097,91895312;88577245,69855699;74085431,76822749;83017106,2975918;7624046,60763255;25;74959593,70854983;74113930,53236896;73823648,92068899;72748412,43239665;74023260,62947975;73933769,24469683;708516,7445292129;0,7404342272856366;0,6967317688431982;0,7031359587420698;0,6759372129943675;0,7780509424256193;0,7188580220581783;0,036189182528995764;94;0,8386838909070982;0,8369163326152835;0,842040561417619;0,8434975874927161;0,8359855561205546;0,8394247857106543;0,002901708431946299;8,860787270876939e+16;8,538472403229286e+16;1,110549107927355e+17;1,0943836083729245e+17;8,29074106535843e+16;9,54786558049349e+16;1,2203478255612812e+16;13;5,0946884396437976e+16;5,251632725069179e+16;4,923711574828036e+16;4,949658163966641e+16;5,12122488276879e+16;5,068183157255288e+16;1200749022353597,2;0,27407643604772697;0,255369561933325;0,25185766441764285;0,268508212569758;0,23564683291400396;0,2570917415764914;0,013483777142862184;7;0,2193901894992803;0,21995324887505321;0,21483629170053034;0,21930848894136337;0,22242218737516903;0,21918208127827926;0,002451047203316252;modelo_rf;;;;;;;;
14;14;2,5879870891571044;0,04157450535271674;0,031796836853027345;0,0007151384511789189;6;3;5;150;-94081422,55920282;-72953902,25692698;-90236906,23126885;-89182980,90933388;-76382049,2992303;-84567452,25119257;8316691,760589977;105;-74309390,3841933;-73566308,65126622;-73052113,60749058;-72457820,66336131;-74742327,10944209;-73625592,0831507;825924,8648240523;94081422,55920282;72953902,25692698;90236906,23126885;89182980,90933388;76382049,2992303;84567452,25119257;8316691,760589977;2;74309390,3841933;73566308,65126622;73052113,60749058;72457820,66336131;74742327,10944209;73625592,0831507;825924,8648240523;0,7415516600996079;0,6962994989332718;0,7029739333539047;0,6753656616024679;0,7760940417479323;0,7184569591474369;0,03589689556978731;100;0,8385609628947766;0,8371834887507666;0,8417391632202262;0,8440561933533701;0,8366959969711696;0,8396471610380617;0,002820457976392914;8,822641507856814e+16;8,550642898907568e+16;1,1111552343868811e+17;1,0963137790056502e+17;8,363839626742909e+16;9,562362833486523e+16;1,2140330605672118e+16;7;5,0985707544777256e+16;5,243029742769935e+16;4,933106377737267e+16;4,931991292163643e+16;5,099041913538475e+16;5,06114801613741e+16;1174678609661276,8;0,2739261249620173;0,25602823467510427;0,25101969193404267;0,26878698208634855;0,23550544172184587;0,25705329507587177;0,013595123383710455;10;0,2198920378236008;0,21975892198907845;0,21480590226680818;0,219853155264112;0,22195864919303362;0,21925373330732661;0,002371570191062962;modelo_rf;;;;;;;;
15;15;1,6937712669372558;0,012935935745855354;0,025784969329833984;0,0024488617636252673;6;3;6;100;-90749151,39021686;-72662264,30978379;-93335048,67886242;-89889843,84832567;-74877922,20440277;-84302846,0863183;8702671,015413553;97;-75198682,31619123;-73539250,15120101;-73859956,13727272;-71779301,3302226;-74965557,1549566;-73868549,41796882;1220340,0284890048;90749151,39021686;72662264,30978379;93335048,67886242;89889843,84832567;74877922,20440277;84302846,0863183;8702671,015413553;10;75198682,31619123;73539250,15120101;73859956,13727272;71779301,3302226;74965557,1549566;73868549,41796882;1220340,0284890048;0,7390175438833235;0,6976723643293608;0,7065037289970824;0,6759480950088802;0,7810521639612823;0,7200387792359859;0,03663405290036951;88;0,8382382724143449;0,8368981953732497;0,8425126131148936;0,8438801171322932;0,8366935413165077;0,8396445478702578;0,0029797431968875327;8,909148540264683e+16;8,511990075784154e+16;1,0979504980163658e+17;1,0943468590182118e+17;8,178632679299525e+16;9,504548973138827e+16;1,21191697285118e+16;20;5,108761971396376e+16;5,252216781923765e+16;4,908997377141291e+16;4,937560005713623e+16;5,099118589466888e+16;5,061330945128389e+16;1254111417584989,5;0,274248756177833;0,25470991523229447;0,2504088563765448;0,2680759552785668;0,23464358621916329;0,2564174138568805;0,013906805827310933;22;0,21890611769426302;0,21970158707385493;0,21408741176468188;0,21873403440251302;0,22236719100753471;0,21875926838856952;0,0026740798759901127;modelo_rf;;;;;;;;
16;16;2,0700962066650392;0,01982538793928691;0,02972407341003418;0,0028608267851973276;6;3;6;120;-90181694,88494295;-73329061,21727845;-88912097,91895312;-88577245,69855699;-74085431,76822749;-83017106,2975918;7624046,60763255;82;-74959593,70854983;-74113930,53236896;-73823648,92068899;-72748412,43239665;-74023260,62947975;-73933769,24469683;708516,7445292129;90181694,88494295;73329061,21727845;88912097,91895312;88577245,69855699;74085431,76822749;83017106,2975918;7624046,60763255;25;74959593,70854983;74113930,53236896;73823648,92068899;72748412,43239665;74023260,62947975;73933769,24469683;708516,7445292129;0,7404342272856366;0,6967317688431982;0,7031359587420698;0,6759372129943675;0,7780509424256193;0,7188580220581783;0,036189182528995764;94;0,8386838909070982;0,8369163326152835;0,842040561417619;0,8434975874927161;0,8359855561205546;0,8394247857106543;0,002901708431946299;8,860787270876939e+16;8,538472403229286e+16;1,110549107927355e+17;1,0943836083729245e+17;8,29074106535843e+16;9,54786558049349e+16;1,2203478255612812e+16;13;5,0946884396437976e+16;5,251632725069179e+16;4,923711574828036e+16;4,949658163966641e+16;5,12122488276879e+16;5,068183157255288e+16;1200749022353597,2;0,27407643604772697;0,255369561933325;0,25185766441764285;0,268508212569758;0,23564683291400396;0,2570917415764914;0,013483777142862184;7;0,2193901894992803;0,21995324887505321;0,21483629170053034;0,21930848894136337;0,22242218737516903;0,21918208127827926;0,002451047203316252;modelo_rf;;;;;;;;
17;17;2,5380886077880858;0,018550885024195166;0,03190426826477051;0,0014241978427012155;6;3;6;150;-94081422,55920282;-72953902,25692698;-90236906,23126885;-89182980,90933388;-76382049,2992303;-84567452,25119257;8316691,760589977;105;-74309390,3841933;-73566308,65126622;-73052113,60749058;-72457820,66336131;-74742327,10944209;-73625592,0831507;825924,8648240523;94081422,55920282;72953902,25692698;90236906,23126885;89182980,90933388;76382049,2992303;84567452,25119257;8316691,760589977;2;74309390,3841933;73566308,65126622;73052113,60749058;72457820,66336131;74742327,10944209;73625592,0831507;825924,8648240523;0,7415516600996079;0,6962994989332718;0,7029739333539047;0,6753656616024679;0,7760940417479323;0,7184569591474369;0,03589689556978731;100;0,8385609628947766;0,8371834887507666;0,8417391632202262;0,8440561933533701;0,8366959969711696;0,8396471610380617;0,002820457976392914;8,822641507856814e+16;8,550642898907568e+16;1,1111552343868811e+17;1,0963137790056502e+17;8,363839626742909e+16;9,562362833486523e+16;1,2140330605672118e+16;7;5,0985707544777256e+16;5,243029742769935e+16;4,933106377737267e+16;4,931991292163643e+16;5,099041913538475e+16;5,06114801613741e+16;1174678609661276,8;0,2739261249620173;0,25602823467510427;0,25101969193404267;0,26878698208634855;0,23550544172184587;0,25705329507587177;0,013595123383710455;10;0,2198920378236008;0,21975892198907845;0,21480590226680818;0,219853155264112;0,22195864919303362;0,21925373330732661;0,002371570191062962;modelo_rf;;;;;;;;
